trajectory_id,trajectory_length,poly_avg_pos_error_m,poly_worst_pos_error_m,poly_avg_vel_error_ms,poly_worst_vel_error_ms,poly_final_pos_error_m,poly_final_vel_error_ms,nn_avg_pos_error_m,nn_worst_pos_error_m,nn_avg_vel_error_ms,nn_worst_vel_error_ms,nn_final_pos_error_m,nn_final_vel_error_ms,improvement_avg_pos,improvement_worst_pos,improvement_avg_vel,improvement_worst_vel
mj_traj_e1965.txt,98,1.835062,5.969457,5.816591,18.919878,4.779620,18.919878,0.067805,0.119291,0.086627,0.307606,0.071125,0.201238,27.06,50.04,67.15,61.51
traj_023.txt,99,1.801645,4.578897,0.684984,1.409207,4.578897,1.409207,0.037121,0.061677,0.007144,0.024271,0.061677,0.004549,48.53,74.24,95.88,58.06
mj_traj_e0295.txt,95,0.840460,2.711405,3.356302,13.086361,0.547827,9.058434,0.042099,0.084665,0.080959,0.360207,0.054562,0.113667,19.96,32.02,41.46,36.33
mj_traj_e1471.txt,91,1.212954,3.432616,3.139078,9.195782,1.601417,4.720755,0.076595,0.150461,0.070340,0.398295,0.111011,0.105496,15.84,22.81,44.63,23.09
traj_631.txt,99,0.844489,1.537672,7.606149,15.714966,1.027049,15.714966,0.163037,0.279538,0.046694,0.143083,0.244438,0.023422,5.18,5.50,162.89,109.83
mj_traj_e1858.txt,95,1.065664,2.370201,3.195708,10.984378,0.515092,4.462683,0.068887,0.124580,0.063639,0.531104,0.107286,0.062434,15.47,19.03,50.22,20.68
mj_traj_e0435.txt,98,2.175195,4.521397,5.736956,15.481515,3.267495,15.481515,0.110062,0.306197,0.100555,0.559408,0.306197,0.133655,19.76,14.77,57.05,27.67
mj_traj_e0200.txt,94,0.935245,4.064191,5.342178,15.997596,4.005386,14.700205,0.124522,0.271582,0.104724,0.524940,0.262276,0.075703,7.51,14.96,51.01,30.48
mj_traj_e0577.txt,96,1.616758,5.035563,4.642275,14.661695,5.035563,5.712166,0.053104,0.179695,0.094395,0.438990,0.179695,0.035541,30.45,28.02,49.18,33.40
mj_traj_e1694.txt,93,0.972106,3.219200,5.914116,12.689912,2.019175,9.891305,0.099903,0.146077,0.064047,0.424804,0.123585,0.045286,9.73,22.04,92.34,29.87
mj_traj_e1972.txt,94,1.460674,3.375868,6.576937,20.689491,1.689008,6.604784,0.023354,0.058435,0.105529,0.421811,0.058435,0.016166,62.55,57.77,62.32,49.05
mj_traj_e1603.txt,91,1.376318,3.707593,4.006227,9.722370,3.707593,5.369614,0.067122,0.100772,0.074185,0.536649,0.086420,0.004420,20.50,36.79,54.00,18.12
mj_traj_e0039.txt,96,3.414382,7.878233,5.627629,17.908647,6.902601,17.908647,0.106904,0.180818,0.099672,0.447979,0.174210,0.048131,31.94,43.57,56.46,39.98
mj_traj_e0495.txt,94,1.452996,4.830957,5.665139,17.328443,4.598146,5.701154,0.135507,0.271723,0.083508,0.324726,0.271723,0.209642,10.72,17.78,67.84,53.36
mj_traj_e1293.txt,95,1.013999,3.077145,4.277654,14.635120,1.619132,4.777166,0.037031,0.059831,0.060204,0.319861,0.036057,0.010708,27.38,51.43,71.05,45.75
mj_traj_e1016.txt,95,1.390728,4.820609,3.922471,15.458255,4.820609,5.216294,0.060263,0.099094,0.060991,0.397958,0.068989,0.025017,23.08,48.65,64.31,38.84
mj_traj_e0105.txt,91,1.462745,3.922550,4.378559,20.629233,2.928530,20.629233,0.075126,0.165149,0.094864,0.419536,0.164776,0.030884,19.47,23.75,46.16,49.17
mj_traj_e1915.txt,95,2.063840,7.284109,5.669587,14.496277,6.257257,9.236543,0.047161,0.085353,0.099337,0.704715,0.060720,0.092811,43.76,85.34,57.07,20.57
traj_706.txt,99,5.953080,16.068331,2.049725,4.257618,16.068331,4.257618,0.059360,0.100310,0.019737,0.054499,0.100310,0.015821,100.29,160.19,103.85,78.12
mj_traj_e1139.txt,93,1.086130,3.749266,2.743476,6.758361,2.687047,6.758361,0.040580,0.092751,0.055263,0.177507,0.082185,0.018026,26.77,40.42,49.64,38.07
traj_974.txt,99,0.741877,1.412205,2.448261,5.013349,0.866867,5.013349,0.057884,0.111493,0.013876,0.038600,0.111493,0.007240,12.82,12.67,176.43,129.88
mj_traj_e1616.txt,96,1.557911,3.912178,6.633761,19.309020,3.912178,15.762990,0.134751,0.196625,0.068111,0.284201,0.196625,0.048109,11.56,19.90,97.40,67.94
